S11;S22;S33;S23;S13;S12;E11;E22;E33;E23;E13;E12;Ep11;Ep22;Ep33;Ep23;Ep13;Ep12;PEEQ;MISES;ux;uy;uz
 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 4.00000e-04
-2.76978e-12;-2.60680e-12; 1.31425e+01;-1.31389e-16; 1.62205e-16; 3.70816e-16;-3.51106e-05;-3.34478e-05; 9.99950e-05; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 1.31425e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-3.78986e-12;-3.65774e-12; 2.62836e+01; 2.26711e-16; 5.44164e-16; 6.29897e-16;-7.02178e-05;-6.68922e-05; 1.99980e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 2.62836e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-3.78320e-12;-3.64930e-12; 3.94235e+01; 1.54575e-16; 7.16848e-16; 9.75362e-16;-1.05321e-04;-1.00333e-04; 2.99955e-04; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 0.00000e+00; 3.94235e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-2.62611e-02;-2.92282e-02; 4.97588e+01;-6.20251e-02; 1.20978e-02; 3.81181e-02;-1.43532e-04;-1.36546e-04; 3.99920e-04; 1.68546e-06;-4.20902e-07;-6.35477e-07;-1.08781e-05;-1.01092e-05; 2.08046e-05; 2.61016e-06;-6.14930e-07;-1.14088e-06; 2.09381e-05; 4.97867e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-2.91578e-05;-3.00948e-05; 4.98144e+01;-2.60480e-01; 6.18212e-02; 1.51369e-01;-1.95766e-04;-1.85231e-04; 4.99875e-04; 1.12071e-05;-2.99048e-06;-4.42515e-06;-6.30876e-05;-5.88049e-05; 1.20481e-04; 1.41708e-05;-3.68666e-06;-6.10951e-06; 1.21325e-04; 4.98173e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 6.16746e-02; 6.12514e-02; 5.07920e+01;-4.58530e-01; 2.47385e-03; 1.97724e-01;-4.08741e-04;-3.83952e-04; 9.49549e-04; 4.43329e-05;-1.25657e-05;-1.86749e-05;-2.87687e-04;-2.67231e-04; 5.50090e-04; 6.21214e-05;-1.61243e-05;-2.68881e-05; 5.53291e-04; 5.07380e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
-1.83706e-02;-2.03739e-02; 5.16907e+01;-5.42244e-01;-9.95271e-02; 1.38611e-01;-6.53844e-04;-6.12812e-04; 1.44895e-03; 8.45818e-05;-2.56973e-05;-3.58283e-05;-5.40317e-04;-5.02252e-04; 1.03279e-03; 1.11926e-04;-3.09871e-05;-4.77286e-05; 1.03882e-03; 5.17194e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 5.57375e-02; 5.38287e-02; 5.30981e+01;-4.69656e-01; 5.36303e-02; 2.92164e-01;-9.02197e-04;-8.45761e-04; 1.94810e-03; 1.26677e-04;-3.83207e-05;-5.07369e-05;-7.92566e-04;-7.37914e-04; 1.51508e-03; 1.60434e-04;-4.60193e-05;-6.67935e-05; 1.52409e-03; 5.30520e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
 8.54933e-03; 8.78242e-03; 5.43611e+01;-5.09377e-01; 6.19569e-02; 3.16209e-01;-1.14843e-03;-1.07689e-03; 2.44700e-03; 1.68493e-04;-5.26018e-05;-6.60457e-05;-1.04367e-03;-9.73008e-04; 1.99636e-03; 2.10077e-04;-6.21300e-05;-8.54578e-05; 2.00816e-03; 5.43625e+01; 0.00000e+00; 0.00000e+00; 4.00000e-04
